Council,Population (current year),Per Capita Minimum Council (PCM),Total Raw Calc,Per Capita Applied Amount,Per Capita Applied Amount (per head),Estimated Grant (GPG),Estimated Grant (per head),Deficit,Minimum Grant (PC basis),Raw Allocation,Raw Alloc Per head,MGC Raw Alloc,MGC,New Grant,2023 - 2024,Adjustment,New Grant Adjusted ,Change,New Grant Per Capita,Change %,Actual Change,Change from prev year,Actual Change from prev year,Per Capita Change,,,
Adelaide,"27,901",PCM,"-71,481,892",710359,25.46,710359,25.46,0," 710,359.46 ", -   , -   , 1.00 ,1," 710,359.46 ",654511,-0.46 ," 710,359.00 ", 0.09 , 25.46 ,0,0,8.53,8.53, -   ,,,
Adelaide Hills,"41,842",PCM,"-4,454,563",1065297,25.46,1065297,25.46,0," 1,065,297.32 ", -   , -   , 1.00 ,1," 1,065,297.32 ",1038598,-0.32 ," 1,065,297.00 ", 0.03 , 25.46 ,0,0,2.57,2.57, -   ,,,
Adelaide Plains,"10,932",-,"5,052,887",1892230,173.09,1717083,157.07,1," 278,328.72 "," 2,227,124.26 ", 203.73 , -   ,0," 1,890,554.84 ",1560985,"-173,471.84 "," 1,717,083.00 ", 0.10 , 172.94 ,-9.26,0,10,10,-0.15 ,,,
Alexandrina,"30,323",-,"5,057,998",1894144,62.47,1844007,60.81,1," 772,023.58 "," 2,229,377.00 ", 73.52 , -   ,0," 1,892,467.14 ",1819177,"-48,460.14 "," 1,844,007.00 ", 0.01 , 62.41 ,-2.65,0,1.36,1.36,-0.06 ,,Total Grant to State," 153,152,834.00 "
Barossa,"26,268",-,"6,430,573",2408153,91.68,1779006,67.73,1," 668,783.28 "," 2,834,356.90 ", 107.90 , -   ,0," 2,406,020.74 ",1546962,"-627,014.74 "," 1,779,006.00 ", 0.15 , 91.60 ,-26.13,0,15,15,-0.08 ,,Per Capita, 84.87 
Barunga West,"2,680",-,"488,998","183,122",68.33,"197,800",73.81,1," 68,232.80 "," 215,532.09 ", 80.42 , -   ,0," 182,960.26 ",197800," 14,839.74 "," 197,800.00 ", -   , 68.27 ,8.02,0,0,0,-0.06 ,,Current Per Capita Minimum, 25.46 
Berri Barmera,"10,730",-,"7,876,569",2949657,274.9,2871580,267.62,1," 273,185.80 "," 3,471,698.04 ", 323.55 , -   ,0," 2,947,045.06 ",2784617,"-75,465.06 "," 2,871,580.00 ", 0.03 , 274.65 ,-2.65,0,3.12,3.12,-0.25 ,,Minimum Per Capita %,30%
Burnside,"47,444",PCM,"-41,901,191",1207924,25.46,1207924,25.46,0," 1,207,924.24 ", -   , -   , 1.00 ,1," 1,207,924.24 ",1170001,-0.24 ," 1,207,924.00 ", 0.03 , 25.46 ,0,0,3.24,3.24, -   ,,Total Non Minimum Grant Pool," 129,102,121.38 "
Campbelltown,"57,160",PCM,"-7,485,035",1455294,25.46,1455294,25.46,0," 1,455,293.60 ", -   , -   , 1.00 ,1," 1,455,293.60 ",1403566, 0.40 ," 1,455,294.00 ", 0.04 , 25.46 ,0,0,3.69,3.69, -   ,,,
Ceduna,"3,717",-,"6,137,073",2298242,618.31,2237408,601.94,1," 94,634.82 "," 2,704,993.04 ", 727.74 , -   ,0," 2,296,206.72 ",2167559,"-58,798.72 "," 2,237,408.00 ", 0.03 , 617.76 ,-2.65,0,3.22,3.22,-0.55 ,,Total Deficit," 347,472,289.00 "
Charles Sturt,"127,440",PCM,"-32,695,279",3244622,25.46,3244622,25.46,0," 3,244,622.40 ", -   , -   , 1.00 ,1," 3,244,622.40 ",3129875,-0.40 ," 3,244,622.00 ", 0.04 , 25.46 ,0,0,3.67,3.67, -   ,,Total Deficit - non MGC," 345,051,313.00 "
"Clare & Gilbert
Valleys","9,405",-,"4,308,988",1613651,171.57,1480609,157.43,1," 239,451.30 "," 1,899,241.31 ", 201.94 , -   ,0," 1,612,222.50 ",1346008,"-131,613.50 "," 1,480,609.00 ", 0.10 , 171.42 ,-8.24,0,10,10,-0.15 ,,,
Cleve,"1,757",-,"3,541,341",1326179,754.8,1302898,741.55,1," 44,733.22 "," 1,560,891.12 ", 888.38 , -   ,0," 1,325,004.77 ",1302898,"-22,106.77 "," 1,302,898.00 ", -   , 754.13 ,-1.76,0,0,0,-0.67 ,,,
