State,LGA_NAME_FULL,LGA_NAME
New South Wales,Berrigan Shire Council,Berrigan
New South Wales,Bland Shire Council,Bland
New South Wales,Blayney Shire Council,Blayney
New South Wales,Dungog Shire Council,Dungog
New South Wales,Edward River Council,Edward River
New South Wales,Forbes Shire Council,Forbes
New South Wales,Glen Innes Severn Council,Glen Innes Severn
New South Wales,Gwydir Shire Council,Gwydir
New South Wales,Junee Shire Council,Junee
New South Wales,Kyogle Council,Kyogle
New South Wales,Lachlan Council,Lachlan
New South Wales,Liverpool Plains Shire Council,Liverpool Plains
New South Wales,Narrandera Shire Council,Narrandera
New South Wales,Narromine Shire Council,Narromine
New South Wales,Oberon Council,Oberon
New South Wales,Temora Shire Council,Temora
New South Wales,Tenterfield Shire Council,Tenterfield
New South Wales,Upper Lachlan Shire Council,Upper Lachlan
New South Wales,Uralla Shire Council,Uralla
New South Wales,Walgett Shire Council,Walgett
New South Wales,Warrumbungle Shire Council,Warrumbungle
New South Wales,Wentworth Shire Council,Wentworth
New South Wales,Balranald Shire Council,Balranald
New South Wales,Bogan Shire Council,Bogan
New South Wales,Bourke Shire Council,Bourke
New South Wales,Carrathool Shire Council,Carrathool
New South Wales,Coolamon Shire Council,Coolamon
New South Wales,Coonamble Shire Council,Coonamble
New South Wales,Gilgandra Council,Gilgandra
New South Wales,Hay Shire Council,Hay
New South Wales,Lockhart Shire Council,Lockhart
New South Wales,Murrumbidgee Council,Murrumbidgee
New South Wales,Walcha Council,Walcha
New South Wales,Warren Shire Council,Warren
New South Wales,Weddin Shire Council,Weddin
New South Wales,Brewarrina Shire Council,Brewarrina
New South Wales,Bellingen Shire Council,Bellingen
New South Wales,Cabonne Shire Council,Cabonne
New South Wales,Cootamundra-Gundagai Regional Council,Cootamundra-Gundagai
New South Wales,Cowra Shire Council,Cowra
New South Wales,Federation Council,Federation
New South Wales,Greater Hume Shire Council,Greater Hume
New South Wales,Gunnedah Shire Council,Gunnedah
New South Wales,Hilltops Council,Hilltops
New South Wales,Inverell Shire Council,Inverell
New South Wales,Leeton Shire Council,Leeton
New South Wales,Moree Plains Shire Council,Moree Plains
New South Wales,Murray River Council,Murray River
New South Wales,Muswellbrook Shire Council,Muswellbrook
New South Wales,Nambucca Valley Council,Nambucca Valley
New South Wales,Narrabri Shire Council,Narrabri
New South Wales,Parkes Shire Council,Parkes
New South Wales,Snowy Valleys Council,Snowy Valleys
New South Wales,Upper Hunter Shire Council,Upper Hunter
New South Wales,Yass Valley Council,Yass Valley
New South Wales,Cobar Shire Council,Cobar
New South Wales,Central Darling Shire Council,Central Darling
New South Wales,Lord Howe Island Board,
New South Wales,Silverton Village Committee Incorporated,
New South Wales,Tibooburra Village Committee Incorporated,
New South Wales,The Council of the City of Sydney,Sydney
New South Wales,City of Canada Bay Council,Canada Bay
New South Wales,North Sydney Council,North Sydney
New South Wales,Waverley Council,Waverley
New South Wales,Willoughby City Council,Willoughby
New South Wales,Burwood Council,Burwood
New South Wales,Council of the Municipality of Woollahra,Woollahra
New South Wales,Lane Cove Municipal Council,Lane Cove
New South Wales,Mosman Municipal Council,Mosman
New South Wales,Strathfield Municipal Council,Strathfield
New South Wales,Hunter's Hill Council,Hunters Hill
New South Wales,Bayside Council,Bayside (NSW)
New South Wales,Blacktown City Council,Blacktown
New South Wales,Canterbury-Bankstown Council,Canterbury-Bankstown
New South Wales,City of Parramatta Council,Parramatta
New South Wales,Council of the City of Ryde,Ryde
New South Wales,Cumberland Council,Cumberland
New South Wales,Fairfield City Council,Fairfield
New South Wales,Georges River Council,Georges River
New South Wales,Inner West Council,Inner West
New South Wales,Ku-Ring-Gai Council,Ku-ring-gai
New South Wales,Liverpool City Council,Liverpool
New South Wales,Northern Beaches Council,Northern Beaches
New South Wales,Randwick City Council,Randwick
New South Wales,Sutherland Shire Council,Sutherland
New South Wales,Blue Mountains City Council,Blue Mountains
New South Wales,The Council of Camden,Camden
New South Wales,Hawkesbury City Council,Hawkesbury
New South Wales,Wollondilly Shire Council,Wollondilly
New South Wales,Campbelltown City Council,Campbelltown (NSW)
New South Wales,Central Coast Council (NSW),Central Coast (NSW)
New South Wales,Hornsby Shire Council,Hornsby
New South Wales,Penrith City Council,Penrith
New South Wales,The Hills Shire Council,The Hills
New South Wales,Coffs Harbour City Council,Coffs Harbour
New South Wales,Council of the City of Shellharbour,Shellharbour
New South Wales,Maitland City Council,Maitland
New South Wales,Mid-Coast Council,Mid-Coast
New South Wales,Port Macquarie Hastings Council,Port Macquarie-Hastings
New South Wales,Port Stephens Council,Port Stephens
New South Wales,Shoalhaven City Council,Shoalhaven
New South Wales,Tweed Shire Council,Tweed
New South Wales,Albury City Council,Albury
New South Wales,Armidale Regional Council,Armidale
New South Wales,Ballina Shire Council,Ballina
New South Wales,Bathurst Regional Council,Bathurst
New South Wales,Bega Valley Shire Council,Bega Valley
New South Wales,Byron Shire Council,Byron
New South Wales,Cessnock City Council,Cessnock
New South Wales,Clarence Valley Council,Clarence Valley
New South Wales,Dubbo Regional Council,Dubbo
New South Wales,Eurobodalla Shire Council,Eurobodalla
New South Wales,Goulburn Mulwaree Council,Goulburn Mulwaree
New South Wales,Lismore City Council,Lismore
New South Wales,Orange City Council,Orange
New South Wales,Queanbeyan-Palerang Regional Council,Queanbeyan-Palerang
New South Wales,Tamworth Regional Council,Tamworth
New South Wales,Wagga Wagga City Council,Wagga Wagga
New South Wales,Wingecarribee Shire Council,Wingecarribee
New South Wales,City of Lithgow Council,Lithgow
New South Wales,Council of the City of Broken Hill,Broken Hill
New South Wales,Griffith City Council,Griffith
New South Wales,Kempsey Shire Council,Kempsey
New South Wales,Kiama Municipal Council,Kiama
New South Wales,Mid-Western Regional Council,Mid-Western
New South Wales,Richmond Valley Council,Richmond Valley
New South Wales,Singleton Council,Singleton
New South Wales,Snowy Monaro Regional Council,Snowy Monaro
New South Wales,Lake Macquarie City Council,Lake Macquarie
New South Wales,Newcastle City Council,Newcastle
New South Wales,Wollongong City Council,Wollongong
Northern Territory,Barkly Regional Council,Barkly
Northern Territory,Central Desert Regional Council,Central Desert
Northern Territory,East Arnhem Regional Council,East Arnhem
Northern Territory,MacDonnell Regional Council,MacDonnell
Northern Territory,Roper Gulf Regional Council,Roper Gulf
Northern Territory,Victoria Daly Regional Council,Victoria Daly
Northern Territory,West Arnhem Regional Council,West Arnhem
Northern Territory,West Daly Regional Council,West Daly
Northern Territory,Coomalie Community Government Council,Coomalie
Northern Territory,Tiwi Islands Regional Council,Tiwi Islands
Northern Territory,Wagait Shire Council,Wagait
Northern Territory,Belyuen Community Government Council,Belyuen
Northern Territory,City of Darwin ,Darwin
Northern Territory,Litchfield Council,Litchfield
Northern Territory,City of Palmerston,Palmerston
Northern Territory,Alice Springs Town Council,Alice Springs
Northern Territory,Katherine Town Council,Katherine
Queensland,Balonne Shire Council,Balonne
Queensland,Banana Shire Council,Banana
Queensland,Burdekin Shire Council,Burdekin
Queensland,Charters Towers Regional Council,Charters Towers
Queensland,Douglas Shire Council,Douglas
Queensland,Goondiwindi Regional Council,Goondiwindi
Queensland,Hinchinbrook Shire Council,Hinchinbrook
Queensland,Maranoa Regional Council,Maranoa
Queensland,North Burnett Regional Council,North Burnett
Queensland,Cloncurry Shire Council,Cloncurry
Queensland,Cook Shire Council,Cook
Queensland,Longreach Regional Council,Longreach
Queensland,Mount Isa City Council,Mount Isa
Queensland,Murweh Shire Council,Murweh
Queensland,Northern Peninsula Area Regional Council,Northern Peninsula Area
Queensland,Torres Shire Council,Torres
Queensland,Torres Strait Island Regional Council,Torres Strait Island
Queensland,Aurukun Shire Council,Aurukun
Queensland,Barcaldine Regional Council,Barcaldine
Queensland,Blackall-Tambo Regional Council,Blackall Tambo
Queensland,Carpentaria Shire Council,Carpentaria
Queensland,Cherbourg Aboriginal Shire Council,Cherbourg
Queensland,Doomadgee Aboriginal Community Council,Doomadgee
Queensland,Flinders Shire Council,Flinders (Qld)
Queensland,Hope Vale Aboriginal Shire Council,Hope Vale
Queensland,Mornington Shire Council,Mornington
Queensland,Napranum Aboriginal Shire Council,Napranum
Queensland,Palm Island Aboriginal Council,Palm Island
Queensland,Paroo Shire Council,Paroo
Queensland,Winton Shire Council,Winton
Queensland,Woorabinda Aboriginal Council,Woorabinda
Queensland,Yarrabah Aboriginal Shire Council,Yarrabah
Queensland,Boulia Shire Council,Boulia
Queensland,Etheridge Shire Council,Etheridge
Queensland,Kowanyama Aboriginal Shire Council,Kowanyama
Queensland,Lockhart River Aboriginal Shire Council,Lockhart River
Queensland,Mckinlay Shire Council,McKinlay
Queensland,Pormpuraaw Aboriginal Shire Council,Pormpuraaw
Queensland,Quilpie Shire Council,Quilpie
Queensland,Richmond Shire Council,Richmond
