Council name,Classification,Population Number,Council area in sq km,Road length in km,General purpose in dollars,Local road in dollars,Total in dollars,General purpose in dollars per capita,Minimum grant (Yes or No),Local road in dollars per km,Bool,GP_sub,New GP Grant,,,,,
Albury City Council,URM,"55,055",306,545,"5,267,459","1,607,920","6,875,379",95.68,No,"2,950.31",1,5267459,5785808.57,,,,,
Armidale Regional Council,URM,"29,704","7,809","1,727","4,619,013","2,571,935","7,190,948",155.5,No,"1,489.25",1,4619013,5073551.593,,,,Scaling Factor,1.098405795
Ballina Shire Council,URM,"45,217",485,655,"3,379,036","1,597,149","4,976,185",74.73,No,"2,438.40",1,3379036,3711553.417,,,,,
Balranald Shire Council,RAM,"2,306","21,691","1,326","3,302,399","1,466,092","4,768,491","1,432.09",No,"1,105.65",1,3302399,3627374.876,,,,,
Bathurst Regional Council,URM,"43,996","3,818","1,160","4,653,655","2,215,396","6,869,051",105.77,No,"1,909.82",1,4653655,5111602.574,,,,,
Bayside Council,UDV,"181,472",50,339,"3,985,685","1,295,456","5,281,141",21.96,Yes,"3,821.40",0,0,0,,,,,
Bega Valley Shire Council,URM,"34,727","6,279","1,225","5,571,887","2,230,278","7,802,165",160.45,No,"1,820.64",1,5571887,6120194.112,,,,,
Bellingen Shire Council,RAV,"13,141","1,600",535,"3,201,337","1,017,640","4,218,977",243.61,No,"1,902.13",1,3201337,3516367.769,,,,,
Berrigan Shire Council,RAL,"8,784","2,066","1,280","3,743,970","1,553,172","5,297,142",426.23,No,"1,213.42",1,3743970,4112399.112,,,,,
Blacktown City Council,UDV,"382,831",240,"1,393","13,909,926","3,891,599","17,801,525",36.33,No,"2,793.68",1,13909926,15278746.18,,,,,
Bland Shire Council,RAL,"5,937","8,558","2,983","5,243,435","3,341,237","8,584,672",883.18,No,"1,120.09",1,5243435,5759420.465,,,,,
Blayney Shire Council,RAL,"7,382","1,525",688,"2,065,040","954,294","3,019,334",279.74,No,"1,387.06",1,2065040,2268252.326,,,,,
Blue Mountains City Council,UFL,"79,195","1,431",727,"7,856,452","1,482,030","9,338,482",99.2,No,"2,038.56",1,7856452,8629574.016,,,,,
Bogan Shire Council,RAM,"2,529","14,600","1,371","3,214,198","1,603,599","4,817,797","1,270.94",No,"1,169.66",1,3214198,3530494.368,,,,,
Bourke Shire Council,RAM,"2,625","41,600","1,883","4,854,627","2,113,454","6,968,081","1,849.38",No,"1,122.39",1,4854627,5332351.425,,,,,
Brewarrina Shire Council,RAS,"1,553","19,164","1,272","3,555,292","1,452,959","5,008,251","2,289.31",No,"1,142.26",1,3555292,3905154.065,,,,,
Burwood Council,UDM,"40,866",7,82,"929,465","295,690","1,225,155",22.74,No,"3,605.98",1,929465,1020929.933,,,,,
Byron Shire Council,URM,"35,773",566,565,"2,224,829","1,341,517","3,566,346",62.19,No,"2,374.37",1,2224829,2443765.523,,,,,
Cabonne Shire Council,RAV,"13,677","6,022","1,709","3,224,620","2,273,663","5,498,283",235.77,No,"1,330.41",1,3224620,3541941.956,,,,,
Campbelltown City Council,UFV,"174,078",312,737,"8,527,897","2,023,937","10,551,834",48.99,No,"2,746.18",1,8527897,9367093.232,,,,,
Canterbury-Bankstown Council ,UDV,"380,406",110,858,"8,525,706","2,920,367","11,446,073",22.41,No,"3,403.69",1,8525706,9364686.625,,,,,
Carrathool Shire Council,RAM,"2,796","18,935","2,275","4,278,627","2,578,425","6,857,052","1,530.27",No,"1,133.37",1,4278627,4699669.569,,,,,
Central Coast Council (NSW),UFV,"345,809","1,681","2,051","22,509,212","4,851,492","27,360,704",65.09,No,"2,365.43",1,22509212,24724253.52,,,,,
